,id,page_type
0,0,0
1,1,1
2,2,1
3,3,2
4,4,2
5,5,1
6,6,2
7,7,1
8,8,0
9,9,1
10,10,0
11,11,0
12,12,3
13,13,3
14,14,3
15,15,3
16,16,3
17,17,0
18,18,3
19,19,3
20,20,4
21,21,4
22,22,5
23,23,0
24,24,0
25,25,6
26,26,6
27,27,6
28,28,6
29,29,6
30,30,1
31,31,6
32,32,6
33,33,6
34,34,6
35,35,6
36,36,6
37,37,6
38,38,6
39,39,6
40,40,6
41,41,6
42,42,6
43,43,6
44,44,6
45,45,6
46,46,6
47,47,6
48,48,6
49,49,6
50,50,6
51,51,6
52,52,6
53,53,6
54,54,6
55,55,6
56,56,6
57,57,6
58,58,6
59,59,6
60,60,6
61,61,6
62,62,6
63,63,6
64,64,6
65,65,6
66,66,6
67,67,6
68,68,6
69,69,6
70,70,6
71,71,6
72,72,6
73,73,6
74,74,6
75,75,6
76,76,6
77,77,6
78,78,6
79,79,6
80,80,6
81,81,6
82,82,6
83,83,0
84,84,6
85,85,6
86,86,6
87,87,6
88,88,6
89,89,6
90,90,6
91,91,6
92,92,6
93,93,6
94,94,6
95,95,6
96,96,6
97,97,6
98,98,6
99,99,6
100,100,6
101,101,6
102,102,6
103,103,6
104,104,6
105,105,6
106,106,6
107,107,6
108,108,6
109,109,6
110,110,6
111,111,6
112,112,6
113,113,6
114,114,6
115,115,6
116,116,6
117,117,6
118,118,6
119,119,6
120,120,6
121,121,6
122,122,6
123,123,6
124,124,6
125,125,6
126,126,6
127,127,6
128,128,6
129,129,6
130,130,6
131,131,6
132,132,6
133,133,6
134,134,6
135,135,6
136,136,6
137,137,6
138,138,6
139,139,6
140,140,6
141,141,6
142,142,6
143,143,6
144,144,6
145,145,6
146,146,6
147,147,6
148,148,6
149,149,6
150,150,6
151,151,6
152,152,0
153,153,6
154,154,6
155,155,6
156,156,6
157,157,6
158,158,6
159,159,6
160,160,6
161,161,6
162,162,6
163,163,6
164,164,4
165,165,6
166,166,6
167,167,6
168,168,6
169,169,6
170,170,6
171,171,6
172,172,6
173,173,6
174,174,6
175,175,6
176,176,6
177,177,6
178,178,6
179,179,6
180,180,6
181,181,6
182,182,6
183,183,6
184,184,6
185,185,6
186,186,2
187,187,6
188,188,6
189,189,6
190,190,6
191,191,6
192,192,6
193,193,0
194,194,6
195,195,6
196,196,6
197,197,6
198,198,6
199,199,6
200,200,6
201,201,6
202,202,6
203,203,2
204,204,2
205,205,2
206,206,2
207,207,2
208,208,2
209,209,2
210,210,2
211,211,2
212,212,2
213,213,2
214,214,2
215,215,6
216,216,2
217,217,2
218,218,2
219,219,2
220,220,2
221,221,2
222,222,2
223,223,2
224,224,2
225,225,2
226,226,2
227,227,2
228,228,2
229,229,2
230,230,2
231,231,2
232,232,2
233,233,2
234,234,2
235,235,2
236,236,2
237,237,2
238,238,2
239,239,6
240,240,2
241,241,2
242,242,2
243,243,2
244,244,2
245,245,4
246,246,2
247,247,2
248,248,2
249,249,2
250,250,2
251,251,2
252,252,2
253,253,2
254,254,2
255,255,2
256,256,2
257,257,2
258,258,2
259,259,2
260,260,2
261,261,2
262,262,2
263,263,2
264,264,2
265,265,2
266,266,2
267,267,2
268,268,2
269,269,2
270,270,2
271,271,2
272,272,2
273,273,2
274,274,2
275,275,2
276,276,2
277,277,2
278,278,2
279,279,2
280,280,2
281,281,2
282,282,1
283,283,0
284,284,2
285,285,2
286,286,2
287,287,2
288,288,2
289,289,2
290,290,6
291,291,2
292,292,2
293,293,2
294,294,2
295,295,2
296,296,2
297,297,2
298,298,2
299,299,2
300,300,2
301,301,2
302,302,2
303,303,2
304,304,2
305,305,2
306,306,2
307,307,2
308,308,2
309,309,2
310,310,2
311,311,2
312,312,2
313,313,2
314,314,2
315,315,2
316,316,2
317,317,2
318,318,2
319,319,2
320,320,2
321,321,2
322,322,2
323,323,2
324,324,2
325,325,2
326,326,2
327,327,2
328,328,2
329,329,2
330,330,2
331,331,2
332,332,2
333,333,2
334,334,2
335,335,2
336,336,2
337,337,2
338,338,2
339,339,4
340,340,2
341,341,2
342,342,2
343,343,2
344,344,2
345,345,4
346,346,2
347,347,2
348,348,2
349,349,2
350,350,2
351,351,2
352,352,2
353,353,2
354,354,2
355,355,2
356,356,2
357,357,2
358,358,2
359,359,2
360,360,2
361,361,2
362,362,2
363,363,2
364,364,2
365,365,0
366,366,2
367,367,2
368,368,2
369,369,2
370,370,2
371,371,2
372,372,2
373,373,2
374,374,2
375,375,2
376,376,2
377,377,2
378,378,2
379,379,2
380,380,2
381,381,2
382,382,2
383,383,5
384,384,2
385,385,2
386,386,2
387,387,2
388,388,2
389,389,2
390,390,2
391,391,2
392,392,2
393,393,2
394,394,2
395,395,2
396,396,2
397,397,2
398,398,2
399,399,2
400,400,2
401,401,2
402,402,2
403,403,2
404,404,2
405,405,2
406,406,6
407,407,2
408,408,2
409,409,2
410,410,2
411,411,2
412,412,2
413,413,2
414,414,2
415,415,2
416,416,2
417,417,2
418,418,2
419,419,2
420,420,2
421,421,2
422,422,2
423,423,2
424,424,2
425,425,2
426,426,2
427,427,2
428,428,2
429,429,2
430,430,2
431,431,2
432,432,2
433,433,2
434,434,2
435,435,2
436,436,2
437,437,2
438,438,2
439,439,2
440,440,2
441,441,2
442,442,2
443,443,2
444,444,2
445,445,2
446,446,2
447,447,2
448,448,2
449,449,2
450,450,2
451,451,2
452,452,2
453,453,2
454,454,2
455,455,2
456,456,2
457,457,2
458,458,2
459,459,6
460,460,2
461,461,2
462,462,2
463,463,2
464,464,2
465,465,2
466,466,2
467,467,2
468,468,2
469,469,2
470,470,2
471,471,2
472,472,2
473,473,2
474,474,2
475,475,2
476,476,5
477,477,2
478,478,2
479,479,2
480,480,2
481,481,2
482,482,2
483,483,2
484,484,2
485,485,2
486,486,2
487,487,2
488,488,2
489,489,2
490,490,2
491,491,2
492,492,2
493,493,2
494,494,2
495,495,2
496,496,2
497,497,2
498,498,2
499,499,2
500,500,0
501,501,2
502,502,2
503,503,2
504,504,2
505,505,4
506,506,4
507,507,3
508,508,3
509,509,3
510,510,3
511,511,3
512,512,4
513,513,3
514,514,1
515,515,3
516,516,1
517,517,3
518,518,3
519,519,3
520,520,3
521,521,3
522,522,3
523,523,3
524,524,3
525,525,3
526,526,3
527,527,3
528,528,3
529,529,3
530,530,3
531,531,3
532,532,3
533,533,3
534,534,3
535,535,3
536,536,3
537,537,3
538,538,3
539,539,6
540,540,3
541,541,3
542,542,3
543,543,3
544,544,3
545,545,3
546,546,3
547,547,3
548,548,3
549,549,3
550,550,3
551,551,3
552,552,3
553,553,3
554,554,3
555,555,3
556,556,3
557,557,3
558,558,3
559,559,3
560,560,0
561,561,3
562,562,3
563,563,3
564,564,3
565,565,3
566,566,3
567,567,3
568,568,3
569,569,3
570,570,3
571,571,3
572,572,3
573,573,3
574,574,3
575,575,3
576,576,3
577,577,3
578,578,3
579,579,3
580,580,3
581,581,3
582,582,3
583,583,3
584,584,3
585,585,3
586,586,3
587,587,3
588,588,3
589,589,3
590,590,3
591,591,3
592,592,3
593,593,3
594,594,3
595,595,3
596,596,3
597,597,3
598,598,3
599,599,3
600,600,3
601,601,3
602,602,3
603,603,3
604,604,3
605,605,3
606,606,3
607,607,3
608,608,3
609,609,3
610,610,6
611,611,3
612,612,6
613,613,3
614,614,3
615,615,3
616,616,3
617,617,3
618,618,3
619,619,3
620,620,3
621,621,3
622,622,3
623,623,3
624,624,3
625,625,3
626,626,3
627,627,3
628,628,4
629,629,3
630,630,3
631,631,4
632,632,4
633,633,4
