,Degree_quantiles_real,Degree_quantiles_higgs,Degree_quantiles_bter,Clustering_quantiles_real,Clustering_quantiles_higgs,Clustering_quantiles_bter,Eccentricity_quantiles_real,Eccentricity_quantiles_higgs,Eccentricity_quantiles_bter
0,1,1,1,0.0,0.0,0.0,3,3,2
1,1,1,1,0.0,0.0,0.0,4,4,3
2,1,1,1,0.0,0.0,0.0,4,4,4
3,1,1,1,0.0,0.0,0.0,5,4,4
4,1,1,1,0.0,0.0,0.0,5,4,4
5,1,1,1,0.0,0.0,0.0,5,4,4
6,1,1,1,0.0,0.0,0.0,5,4,5
7,1,1,1,0.0,0.0,0.0,5,4,5
8,1,1,1,0.0,0.0,0.0,5,4,5
9,1,1,1,0.0,0.0,0.0,5,4,5
10,1,1,1,0.0,0.0,0.0,5,4,5
11,1,1,1,0.0,0.0,0.0,5,4,5
12,1,1,1,0.0,0.0,0.0,5,4,5
13,1,1,1,0.0,0.0,0.0,5,4,5
14,1,1,1,0.0,0.0,0.0,5,5,5
15,1,1,1,0.0,0.0,0.0,5,5,5
16,1,2,1,0.0,0.0,0.0,6,5,5
17,1,2,1,0.0,0.0,0.0,6,5,5
18,1,2,1,0.0,0.0,0.0,6,5,5
19,1,2,1,0.0,0.0,0.0,6,5,5
20,1,2,1,0.0,0.0,0.0,6,5,5
21,2,2,1,0.0,0.0,0.0,6,5,6
22,2,2,1,0.0,0.0,0.0,6,5,6
23,2,2,1,0.0,0.0,0.0,6,5,6
24,2,2,1,0.0,0.0,0.0,6,5,6
25,2,2,1,0.0,0.0,0.0,6,5,6
26,2,2,1,0.0,0.0,0.0,6,5,6
27,2,2,2,0.0,0.0,0.0,6,5,6
28,2,2,2,0.0,0.0,0.0,6,5,6
29,2,2,2,0.0,0.0,0.0,6,5,6
30,2,2,2,0.0,0.0,0.0,6,5,6
31,2,2,2,0.0,0.0,0.0,6,5,6
32,2,2,2,0.0,0.0,0.0,6,5,6
33,2,2,2,0.0,0.0,0.0,6,5,6
34,2,2,2,0.0,0.0,0.0,6,5,6
35,2,2,2,0.0,0.0,0.0,6,5,6
36,2,2,2,0.047619047619047616,0.0,0.0,6,5,6
37,2,2,2,0.07142857142857142,0.0,0.0,6,5,6
38,2,3,2,0.09523809523809523,0.0,0.0,6,5,6
39,2,3,2,0.1,0.0,0.0,6,5,6
40,3,3,2,0.11666666666666667,0.0,0.0,6,5,6
41,3,3,2,0.13450292397660818,0.0,0.0,6,5,6
42,3,3,2,0.15171650055370986,0.0,0.0,6,5,6
43,3,3,3,0.16666666666666666,0.0,0.0896551724137931,6,5,6
44,3,3,3,0.16666666666666666,0.0,0.16666666666666666,6,5,7
45,3,3,3,0.16666666666666666,0.0,0.16666666666666666,7,5,7
46,3,3,3,0.19047619047619047,0.0,0.26666666666666666,7,5,7
47,3,3,3,0.2,0.03571428571428571,0.3333333333333333,7,6,7
48,3,3,3,0.2,0.050724637681159424,0.3333333333333333,7,6,7
49,3,3,3,0.20261437908496732,0.06666666666666667,0.3333333333333333,7,6,7
50,3,3,3,0.2222222222222222,0.07692307692307693,0.3333333333333333,7,6,7
51,3,3,3,0.2426470588235294,0.09523809523809523,0.3333333333333333,7,6,7
52,3,3,3,0.26666666666666666,0.1,0.3333333333333333,7,6,7
53,3,4,3,0.2761904761904762,0.1,0.3333333333333333,7,6,7
54,3,4,3,0.2857142857142857,0.10294117647058823,0.3956043956043956,7,6,7
55,4,4,3,0.3,0.12087912087912088,0.4,7,6,7
56,4,4,3,0.3055555555555556,0.13333333333333333,0.4666666666666667,7,6,7
57,4,4,3,0.3333333333333333,0.14285714285714285,0.5,7,6,7
58,4,4,4,0.3333333333333333,0.15555555555555556,0.5,7,6,7
59,4,4,4,0.3333333333333333,0.16666666666666666,0.5,7,6,7
60,4,4,4,0.3333333333333333,0.16666666666666666,0.5,7,6,7
61,4,4,4,0.3333333333333333,0.16666666666666666,0.5238095238095238,7,6,8
62,4,4,4,0.3333333333333333,0.16666666666666666,0.5333333333333333,7,6,8
63,4,4,4,0.3333333333333333,0.18681318681318682,0.5614035087719298,7,6,8
64,4,4,4,0.3333333333333333,0.19444444444444445,0.580952380952381,7,6,8
65,4,5,4,0.3333333333333333,0.2,0.6,7,6,8
66,5,5,4,0.3333333333333333,0.2,0.6,7,6,8
67,5,5,4,0.37777777777777777,0.20512820512820512,0.6071428571428571,7,6,8
68,5,5,4,0.39285714285714285,0.22794117647058823,0.6181818181818182,7,6,8
69,5,5,5,0.4,0.24761904761904763,0.6212121212121212,7,6,8
70,5,5,5,0.4,0.26666666666666666,0.6416666666666667,7,6,8
71,5,5,5,0.42857142857142855,0.2813852813852814,0.6545454545454545,8,7,8
72,5,5,5,0.4666666666666667,0.29523809523809524,0.6666666666666666,8,7,8
73,6,5,5,0.5,0.3,0.6666666666666666,8,7,9
74,6,5,5,0.5,0.32142857142857145,0.6666666666666666,8,7,9
75,6,6,5,0.5,0.3333333333333333,0.6666666666666666,8,7,9
76,6,6,5,0.5238095238095238,0.3333333333333333,0.6666666666666666,8,7,9
77,6,6,6,0.5714285714285714,0.3333333333333333,0.6666666666666666,8,7,9
78,6,6,6,0.6,0.3333333333333333,0.6666666666666666,8,7,9
