,Degree_quantiles_real,Degree_quantiles_higgs,Degree_quantiles_bter,Clustering_quantiles_real,Clustering_quantiles_higgs,Clustering_quantiles_bter,Eccentricity_quantiles_real,Eccentricity_quantiles_higgs,Eccentricity_quantiles_bter
0,1,1,1,0.0,0.0,0.0,8,9,8
1,1,1,1,0.0,0.0,0.0,9,10,9
2,1,1,1,0.0,0.0,0.0,9,10,9
3,1,1,1,0.0,0.0,0.0,9,10,9
4,1,1,1,0.0,0.0,0.0,9,10,9
5,1,1,1,0.0,0.0,0.0,9,10,9
6,1,1,1,0.0,0.0,0.0,9,10,9
7,1,1,1,0.0,0.0,0.0,9,10,9
8,1,1,1,0.0,0.0,0.0,9,10,9
9,1,2,1,0.0,0.0,0.0,9,10,9
10,1,2,1,0.0,0.0,0.0,10,10,9
11,1,2,1,0.0,0.0,0.0,10,10,9
12,2,2,1,0.0,0.0,0.0,10,10,9
13,2,2,1,0.0,0.0,0.0,10,10,9
14,2,2,1,0.0,0.0,0.0,10,10,9
15,2,2,1,0.0,0.0,0.0,10,10,9
16,2,2,1,0.0,0.0,0.0,10,10,10
17,2,2,2,0.0,0.0,0.0,10,10,10
18,2,2,2,0.0,0.0,0.0,10,10,10
19,2,2,2,0.0,0.0,0.0,10,10,10
20,2,3,2,0.0,0.0,0.0,10,10,10
21,2,3,2,0.0,0.0,0.0,10,10,10
22,2,3,2,0.0,0.0,0.0,10,10,10
23,3,3,2,0.0,0.0,0.0,10,10,10
24,3,3,2,0.027777777777777776,0.0,0.0,10,10,10
25,3,3,3,0.047619047619047616,0.0,0.022222222222222223,10,11,10
26,3,3,3,0.06593406593406594,0.0,0.1,10,11,10
27,3,3,3,0.07419712070874862,0.0,0.15072463768115943,10,11,10
28,3,3,3,0.09166666666666666,0.0,0.16666666666666666,10,11,10
29,3,4,3,0.1,0.025,0.1763975155279503,10,11,10
30,3,4,3,0.1111111111111111,0.04093567251461988,0.19036740909956215,10,11,10
31,4,4,3,0.12987012987012986,0.053998632946001365,0.2,10,11,10
32,4,4,3,0.1388888888888889,0.06666666666666667,0.20533695160560833,10,11,10
33,4,4,4,0.14761904761904762,0.07142857142857142,0.2170275590551181,10,11,10
34,4,4,4,0.16483516483516483,0.0817963111467522,0.2305194805194805,10,11,10
35,4,5,4,0.16666666666666666,0.09047619047619047,0.24183006535947713,10,11,10
36,4,5,4,0.17777777777777778,0.09803921568627451,0.2560163850486431,10,11,10
37,5,5,4,0.19047619047619047,0.1,0.26814516129032256,10,11,10
38,5,5,4,0.2,0.10685483870967742,0.28368794326241137,10,11,10
39,5,5,5,0.2,0.11259370314842579,0.29523809523809524,10,11,10
40,5,6,5,0.21739130434782608,0.11988095238095238,0.3071230342275671,10,11,10
41,5,6,5,0.2321187584345479,0.12727272727272726,0.32180851063829785,10,11,10
42,5,6,5,0.24367888748419722,0.13333333333333333,0.3333333333333333,10,11,10
43,6,6,5,0.2564102564102564,0.1381863750284803,0.3333333333333333,10,11,10
44,6,7,5,0.26710239651416123,0.14285714285714285,0.3333333333333333,10,11,10
45,6,7,6,0.27941176470588236,0.14806980433633,0.3333333333333333,10,11,10
46,6,7,6,0.28846153846153844,0.15555555555555556,0.3463203463203463,10,11,10
47,6,8,6,0.3,0.16290726817042606,0.36182336182336183,10,11,10
48,7,8,6,0.3072448439978847,0.16666666666666666,0.37777777777777777,10,11,10
49,7,9,6,0.32038834951456313,0.16666666666666666,0.3888888888888889,10,11,10
50,7,9,7,0.3333333333333333,0.17435897435897435,0.4,10,11,10
51,7,10,7,0.3333333333333333,0.18128654970760233,0.40923076923076923,10,11,10
