,Degree_quantiles_real,Degree_quantiles_higgs,Degree_quantiles_bter,Clustering_quantiles_real,Clustering_quantiles_higgs,Clustering_quantiles_bter,Eccentricity_quantiles_real,Eccentricity_quantiles_higgs,Eccentricity_quantiles_bter
0,1,1,1,0.0,0.0,0.0,1,1,1
1,1,1,1,0.0,0.0,0.0,4,3,2
2,1,1,1,0.0,0.0,0.0,4,4,4
3,1,1,1,0.0,0.0,0.0,4,4,5
4,1,1,1,0.0,0.0,0.0,4,4,5
5,1,1,1,0.0,0.0,0.0,5,4,5
6,1,1,1,0.0,0.0,0.0,5,4,5
7,1,1,1,0.0,0.0,0.0,5,4,5
8,1,1,1,0.0,0.0,0.0,5,4,5
9,1,1,1,0.0,0.0,0.0,5,4,5
10,1,1,1,0.0,0.0,0.0,5,4,5
11,1,1,1,0.0,0.0,0.0,6,5,6
12,1,2,1,0.0,0.0,0.0,6,5,6
13,1,2,1,0.0,0.0,0.0,6,5,6
14,2,2,1,0.0,0.0,0.0,6,5,6
15,2,2,1,0.0,0.0,0.0,6,5,6
16,2,2,1,0.0,0.0,0.0,6,5,6
17,2,2,1,0.0,0.0,0.0,6,5,6
18,2,2,2,0.0,0.0,0.0,6,5,6
19,2,2,2,0.0,0.0,0.0,6,5,6
20,2,2,2,0.0,0.0,0.0,6,5,6
21,2,2,2,0.0,0.0,0.0,6,5,6
22,2,2,2,0.0,0.0,0.0,6,5,6
23,2,2,2,0.0,0.0,0.0,6,5,6
24,2,3,2,0.0,0.0,0.0,6,5,6
25,2,3,2,0.047619047619047616,0.0,0.0,6,5,6
26,3,3,2,0.07142857142857142,0.0,0.1950354609929078,7,5,6
27,3,3,3,0.09523809523809523,0.0,0.2454212454212454,7,5,6
28,3,3,3,0.10714285714285714,0.0,0.2708618331053352,7,5,6
29,3,3,3,0.13333333333333333,0.0,0.3,7,5,6
30,3,3,3,0.14285714285714285,0.047619047619047616,0.3333333333333333,7,5,6
31,3,3,3,0.16666666666666666,0.07142857142857142,0.3333333333333333,7,5,7
32,3,3,3,0.16666666666666666,0.09635627530364373,0.3333333333333333,7,5,7
33,3,3,3,0.18382352941176472,0.10606060606060606,0.3333333333333333,7,5,7
34,4,4,3,0.2,0.12129478086924896,0.36904761904761907,7,6,7
35,4,4,4,0.2,0.13333333333333333,0.4,7,6,7
36,4,4,4,0.21904761904761905,0.14285714285714285,0.4666666666666667,7,6,7
37,4,4,4,0.23809523809523808,0.15402298850574714,0.5,7,6,7
38,4,4,4,0.252361673414305,0.16537560799855883,0.5,7,6,7
